"","date","iso3c","country","gdp_per_cap","pop_size","sec_enrol","mort","democracy"
"1","2020","AFG","Afghanistan",516.866797351726,38972230,NA,57.8,0
"2","2019","AFG","Afghanistan",500.52298078433,37769499,NA,59.9,0
"3","2018","AFG","Afghanistan",502.057099211089,36686784,55.4252090454102,62.2,0
"4","2017","AFG","Afghanistan",530.14986261654,35643418,53.6431999206543,64.6,0
"5","2016","AFG","Afghanistan",520.251954939821,34636207,51.6559410095215,67.2,0
"6","2015","AFG","Afghanistan",592.476164793256,33753499,51.6699485778809,70.2,0
"7","2014","AFG","Afghanistan",628.146803888496,32716210,52.5829010009766,73.4,0
"8","2013","AFG","Afghanistan",651.987861948108,31541209,53.5751304626465,76.8,0
"9","2012","AFG","Afghanistan",663.141052810937,30466479,53.618049621582,80.3,0
"10","2011","AFG","Afghanistan",621.912413814308,29249157,51.756908416748,84,0
"11","2010","AFG","Afghanistan",554.59473461788,28189672,50.5672492980957,87.8,0
"12","2009","AFG","Afghanistan",443.845150536332,27385307,44.4203796386719,91.8,0
"13","2008","AFG","Afghanistan",387.849288097831,26427199,38.1939811706543,95.9,0
"14","2007","AFG","Afghanistan",375.07826147255,25903301,28.4933395385742,100,0
"15","2006","AFG","Afghanistan",274.000655690946,25442944,28.2558708190918,104.3,0
"16","2005","AFG","Afghanistan",255.055107095483,24411191,18.6168098449707,108.6,0
"17","2004","AFG","Afghanistan",221.65766209292,23553551,17.5680809020996,112.8,0
"18","2003","AFG","Afghanistan",200.462375926026,22645130,12.5488901138306,117,0
"19","2002","AFG","Afghanistan",183.532775237202,21000256,NA,121.2,0
"20","2020","BRA","Brazil",6923.70019715065,213196304,104.125999450684,14.7,1
"21","2019","BRA","Brazil",8845.3239312417,211782878,103.953277587891,14.9,1
"22","2018","BRA","Brazil",9121.02009249958,210166592,105.00707244873,15.2,1
"23","2017","BRA","Brazil",9896.7175109967,208504960,103.015960693359,15.4,1
"24","2016","BRA","Brazil",8680.73542054827,206859578,102.569511413574,16.7,1
"25","2015","BRA","Brazil",8783.21441310718,205188205,100.920516967773,15.9,1
"26","2014","BRA","Brazil",12071.4046547485,203459650,102.635528564453,16.3,1
"27","2013","BRA","Brazil",12258.5648491717,201721767,103.917678833008,16.7,1
"28","2012","BRA","Brazil",12327.5155558345,199977707,94.3209762573242,17.2,1
"29","2011","BRA","Brazil",13200.5581661879,198185302,95.2633819580078,17.9,1
"30","2010","BRA","Brazil",11249.2937410718,196353492,NA,18.6,1
"31","2009","BRA","Brazil",8569.90180523381,194517549,96.6654815673828,19.6,1
"32","2008","BRA","Brazil",8801.75947547502,192672317,96.7201232910156,20.6,1
"33","2007","BRA","Brazil",7323.19034003928,190779453,95.1699981689453,21.8,1
"34","2006","BRA","Brazil",5866.02431314405,188820682,NA,23.2,1
"35","2005","BRA","Brazil",4773.26848028038,186797334,101.2919921875,24.8,1
"36","2004","BRA","Brazil",3623.22390486815,184722043,102.371032714844,26.5,1
"37","2003","BRA","Brazil",3056.64968001868,182629278,101.868667602539,28.4,1
"38","2002","BRA","Brazil",2824.71539582671,180476685,109.994216918945,30.4,1
"39","2001","BRA","Brazil",3142.23552848117,178211881,NA,32.5,1
"40","2000","BRA","Brazil",3726.81142041068,175873720,NA,34.7,1
"41","2020","ITA","Italy",31918.6934933773,59438851,100.911361694336,2.8,1
"42","2019","ITA","Italy",33673.7509627414,59729081,101.188262939453,3,1
"43","2018","ITA","Italy",34622.1696664735,60421760,101.353103637695,3.2,1
"44","2017","ITA","Italy",32406.7203150137,60536709,101.270408630371,3.3,1
"45","2016","ITA","Italy",30960.7315088911,60627498,101.662353515625,3.4,1
"46","2015","ITA","Italy",30242.3861352184,60730582,102.256271362305,3.5,1
"47","2014","ITA","Italy",35565.7213771491,60789140,102.281059265137,3.6,1
"48","2013","ITA","Italy",35560.0814062291,60233948,102.408988952637,3.7,1
"49","2012","ITA","Italy",35051.5212697703,59539717,102.033340454102,3.8,1
"50","2011","ITA","Italy",38649.6394836792,59379449,103.331573486328,3.9,1
"51","2010","ITA","Italy",36035.6449950699,59277417,102.903816223145,4,1
"52","2009","ITA","Italy",37226.7571935402,59095365,101.416549682617,4.1,1
"53","2008","ITA","Italy",40944.9124194678,58826731,101.100967407227,4.1,1
"54","2007","ITA","Italy",37870.7475070969,58438310,100.46997833252,4.2,1
"55","2006","ITA","Italy",33529.7266014361,58143979,100.053123474121,4.3,1
"56","2005","ITA","Italy",32055.0920757503,57969484,99.2878036499023,4.5,1
"57","2004","ITA","Italy",31317.2007943296,57685327,99.0179290771484,4.6,1
"58","2003","ITA","Italy",27526.3224609957,57313203,99.1285705566406,4.8,1
"59","2002","ITA","Italy",22376.2978989329,57059007,98.145393371582,5.1,1
"60","2001","ITA","Italy",20500.9543995672,56974100,96.0991592407227,5.3,1
"61","2000","ITA","Italy",20137.5912217673,56942108,93.0541687011719,5.6,1
"62","2020","NGA","Nigeria",2074.61392802438,208327405,NA,113.8,1
"63","2019","NGA","Nigeria",2334.02354308408,203304492,NA,116.8,1
"64","2018","NGA","Nigeria",2125.83428239448,198387623,43.5111389160156,119.6,1
"65","2017","NGA","Nigeria",1941.87948520625,193495907,NA,122.4,1
"66","2016","NGA","Nigeria",2144.77993839856,188666931,42.0025405883789,124.7,1
"67","2015","NGA","Nigeria",2679.55476480921,183995785,46.7820014953613,126.4,1
"68","2014","NGA","Nigeria",3200.95314600431,179379016,45.6240386962891,128,0
"69","2013","NGA","Nigeria",2976.75673612767,174726123,56.2053985595703,129.6,0
"70","2012","NGA","Nigeria",2728.02268335423,170075932,47.1807708740234,131.4,0
"71","2011","NGA","Nigeria",2504.87827884434,165463745,45.5565299987793,133.4,0
"72","2010","NGA","Nigeria",2280.11197852503,160952853,44.2182312011719,135.7,0
"73","2009","NGA","Nigeria",1883.88734830887,156595758,39.2327995300293,138.5,0
"74","2008","NGA","Nigeria",2227.78995171265,152382506,35.3861808776855,141.9,0
"75","2007","NGA","Nigeria",1876.41277665632,148294028,31.8677005767822,145.8,0
"76","2006","NGA","Nigeria",1652.15369043056,144329764,34.4569816589355,150.2,0
"77","2005","NGA","Nigeria",1250.40667526077,140490722,34.9577484130859,155.1,0
"78","2004","NGA","Nigeria",992.745280113547,136756848,34.9974784851074,160.4,0
"79","2003","NGA","Nigeria",786.802409334717,133119801,NA,165.8,0
"80","2002","NGA","Nigeria",733.538161512973,129583026,29.6132202148438,171.4,0
"81","2001","NGA","Nigeria",586.833061680748,126152678,27.0335807800293,177,0
"82","2000","NGA","Nigeria",565.305992623438,122851984,24.6094093322754,182.4,0
"83","2020","SWE","Sweden",52837.9039778149,10353442,145.621841430664,2.5,1
"84","2019","SWE","Sweden",51939.4297445291,10278887,146.246322631836,2.6,1
"85","2018","SWE","Sweden",54589.0603860606,10175214,151.704544067383,2.7,1
"86","2017","SWE","Sweden",53791.5087298403,10057698,152.860687255859,2.8,1
"87","2016","SWE","Sweden",51965.1571531985,9923085,144.90934753418,2.8,1
"88","2015","SWE","Sweden",51545.4836095322,9799186,140.436767578125,2.9,1
"89","2014","SWE","Sweden",60020.3604576572,9696110,132.942123413086,2.9,1
"90","2013","SWE","Sweden",61126.9431963979,9600379,128.556381225586,2.9,1
"91","2012","SWE","Sweden",58037.8213192173,9519374,98.1422500610352,3,1
"92","2011","SWE","Sweden",60755.7595508465,9449213,96.9797515869141,3,1
"93","2010","SWE","Sweden",52869.0442891587,9378126,98.1203079223633,3.1,1
"94","2009","SWE","Sweden",46946.8427075849,9298515,99.4897308349609,3.1,1
"95","2008","SWE","Sweden",56152.5594398572,9219637,101.303497314453,3.2,1
"96","2007","SWE","Sweden",53700.2436933091,9148092,102.386901855469,3.3,1
"97","2006","SWE","Sweden",46593.2916773864,9080505,103.569053649902,3.5,1
"98","2005","SWE","Sweden",43437.1309285673,9029572,104.059707641602,3.6,1
"99","2004","SWE","Sweden",42821.750835144,8993531,103.292808532715,3.7,1
"100","2003","SWE","Sweden",37321.7786737336,8958229,137.024932861328,3.9,1
"101","2002","SWE","Sweden",29899.1236012538,8924958,143.929550170898,4,1
"102","2001","SWE","Sweden",27247.7632078564,8895960,147.633224487305,4,1
"103","2000","SWE","Sweden",29624.7698677482,8872109,151.851165771484,4.1,1
"104","2020","UGA","Uganda",846.881199214807,44404611,NA,43.7,0
"105","2019","UGA","Uganda",823.024732829946,42949080,NA,45.6,0
"106","2018","UGA","Uganda",793.12808227851,41515395,NA,47.7,0
"107","2017","UGA","Uganda",766.177603973574,40127085,24.1781730651855,50.2,0
"108","2016","UGA","Uganda",753.684405538911,38748299,26.7047119140625,52.7,0
"109","2015","UGA","Uganda",864.180059367602,37477356,NA,56,0
"110","2014","UGA","Uganda",897.509728519811,36336539,27.7139930725098,59.1,0
"111","2013","UGA","Uganda",819.757867445612,35273570,27.941535949707,62.5,0
"112","2012","UGA","Uganda",796.711139328563,34273295,26.3582897186279,66.7,0
"113","2011","UGA","Uganda",837.095884319153,33295738,26.3085136413574,71.6,0
"114","2010","UGA","Uganda",824.737671173843,32341728,27.3719596862793,76.4,0
"115","2009","UGA","Uganda",799.929632084631,31412520,NA,81.7,0
"116","2008","UGA","Uganda",473.302833574496,30509862,NA,87,0
"117","2007","UGA","Uganda",401.709187704745,29629804,24.6403293609619,93.1,0
"118","2006","UGA","Uganda",346.768462407263,28773227,NA,99.8,0
"119","2005","UGA","Uganda",330.60285429056,27946588,NA,107.2,0
"120","2004","UGA","Uganda",292.472665611955,27146084,19.3705902099609,115.2,0
"121","2003","UGA","Uganda",250.690588357599,26354736,NA,123.5,0
"122","2002","UGA","Uganda",241.86893022857,25545090,NA,131.6,0
"123","2001","UGA","Uganda",235.852974855859,24763325,NA,139.3,0
"124","2000","UGA","Uganda",257.829605739453,24020697,NA,146.1,0
"125","2001","AFG","Afghanistan",NA,19688632,12.3246202468872,125.3,0
"126","2000","AFG","Afghanistan",NA,19542982,NA,129.3,0
