"","euftf","edlvdie","eduyrs","hinctnta","trstplt","imwbcnt","gndr","agea","brncntr","euftf_re","edu_cat"
"20895",8,4,10,2,3,8,1,74,1,2,"Junior Cycle"
"20896",5,6,13,NA,9,8,1,61,1,5,"Leaving Certificate"
"20897",6,16,17,7,2,2,2,56,1,4,"Postgraduate Degree"
"20898",7,14,16,NA,7,9,2,90,1,3,"Bachelor Degree"
"20899",3,3,13,NA,6,5,1,23,1,7,"Junior Cycle"
"20900",NA,4,10,NA,0,2,1,44,1,NA,"Junior Cycle"
"20901",7,7,20,2,0,7,1,41,1,3,"Leaving Certificate"
"20902",8,4,15,NA,5,6,2,48,1,2,"Junior Cycle"
"20903",4,13,17,NA,5,6,2,47,1,6,"Bachelor Degree"
"20904",0,12,18,9,5,8,1,47,1,10,"Advanced Certificate"
"20905",5,7,14,2,2,7,2,63,1,5,"Leaving Certificate"
"20906",8,14,17,4,5,8,2,71,1,2,"Bachelor Degree"
"20907",5,12,19,NA,5,8,2,65,1,5,"Advanced Certificate"
"20908",4,9,16,10,6,8,2,22,1,6,"Leaving Certificate"
"20909",5,7,13,NA,2,5,1,44,1,5,"Leaving Certificate"
"20910",5,14,18,10,4,8,1,57,1,5,"Bachelor Degree"
"20911",7,16,19,6,6,7,2,35,1,3,"Postgraduate Degree"
"20912",8,17,19,5,8,9,1,81,1,2,"Postgraduate Degree"
"20913",8,10,15,2,8,8,2,53,1,2,"Advanced Certificate"
"20914",5,9,15,NA,2,3,2,31,1,5,"Leaving Certificate"
"20915",5,15,20,5,3,10,1,26,1,5,"Bachelor Degree"
"20916",8,2,14,2,1,8,1,89,1,2,"Junior Cycle"
"20917",8,13,17,1,5,9,2,41,1,2,"Bachelor Degree"
"20918",3,14,17,NA,6,5,1,45,1,7,"Bachelor Degree"
"20919",3,2,10,1,2,7,1,80,1,7,"Junior Cycle"
"20920",5,12,15,9,0,7,2,33,1,5,"Advanced Certificate"
"20921",NA,2,8,NA,2,6,2,NA,1,NA,"Junior Cycle"
"20922",7,6,NA,8,7,5,1,60,1,3,"Leaving Certificate"
"20923",7,9,14,NA,7,8,2,75,1,3,"Leaving Certificate"
"20924",6,2,7,5,5,0,2,84,1,4,"Junior Cycle"
"20925",NA,1,5,NA,NA,5,1,35,2,NA,"Junior Cycle"
"20926",4,3,15,4,8,8,2,78,1,6,"Junior Cycle"
"20927",9,15,18,4,NA,10,2,37,2,1,"Bachelor Degree"
"20928",8,16,19,1,2,9,2,27,1,2,"Postgraduate Degree"
"20929",6,3,10,4,8,7,1,73,1,4,"Junior Cycle"
"20930",7,6,16,NA,NA,8,1,21,2,3,"Leaving Certificate"
"20931",5,14,18,3,7,7,1,27,1,5,"Bachelor Degree"
"20932",5,12,15,7,6,NA,1,33,1,5,"Advanced Certificate"
"20933",0,17,18,NA,7,10,1,30,2,10,"Postgraduate Degree"
"20934",3,14,NA,3,3,8,1,62,1,7,"Bachelor Degree"
"20935",9,10,16,3,2,7,1,60,2,1,"Advanced Certificate"
"20936",NA,6,15,NA,1,2,1,39,1,NA,"Leaving Certificate"
"20937",6,10,17,8,NA,6,1,36,2,4,"Advanced Certificate"
"20938",3,12,15,NA,2,0,2,78,1,7,"Advanced Certificate"
"20939",8,17,19,9,8,9,2,38,1,2,"Postgraduate Degree"
"20940",5,3,12,NA,1,6,1,26,2,5,"Junior Cycle"
"20941",NA,17,19,10,5,8,1,24,1,NA,"Postgraduate Degree"
"20942",5,13,NA,4,4,8,2,40,2,5,"Bachelor Degree"
"20943",8,10,14,4,8,8,2,49,1,2,"Advanced Certificate"
"20944",7,4,10,8,6,7,1,62,1,3,"Junior Cycle"
"20945",2,17,19,9,8,9,1,51,1,8,"Postgraduate Degree"
"20946",10,17,25,6,5,10,2,59,2,0,"Postgraduate Degree"
"20947",9,NA,14,NA,7,8,1,34,2,1,NA
"20948",NA,9,15,1,2,5,2,28,1,NA,"Leaving Certificate"
"20949",10,6,14,NA,4,5,2,75,1,0,"Leaving Certificate"
"20950",7,13,16,6,1,7,2,46,1,3,"Bachelor Degree"
"20951",8,6,14,8,1,2,2,53,1,2,"Leaving Certificate"
"20952",1,16,19,6,2,8,2,42,1,9,"Postgraduate Degree"
"20953",5,2,7,NA,5,7,1,76,1,5,"Junior Cycle"
"20954",9,6,15,2,3,6,2,81,1,1,"Leaving Certificate"
"20955",7,5,10,NA,9,9,2,82,1,3,"Leaving Certificate"
"20956",NA,2,8,1,3,2,1,38,1,NA,"Junior Cycle"
"20957",2,14,20,NA,10,6,1,75,1,8,"Bachelor Degree"
"20958",1,6,15,NA,NA,NA,2,19,2,9,"Leaving Certificate"
"20959",5,16,21,7,5,8,2,32,1,5,"Postgraduate Degree"
"20960",NA,6,14,2,0,8,1,61,1,NA,"Leaving Certificate"
"20961",9,4,14,3,0,7,1,59,1,1,"Junior Cycle"
"20962",7,6,18,4,0,7,1,26,1,3,"Leaving Certificate"
"20963",6,16,20,10,5,8,1,49,2,4,"Postgraduate Degree"
"20964",5,4,12,NA,0,2,2,42,1,5,"Junior Cycle"
"20965",NA,9,13,1,NA,3,2,25,1,NA,"Leaving Certificate"
"20966",2,13,21,5,5,7,2,40,1,8,"Bachelor Degree"
"20967",3,10,16,6,6,6,2,44,1,7,"Advanced Certificate"
"20968",7,6,15,1,5,7,2,53,1,3,"Leaving Certificate"
"20969",4,14,20,NA,6,8,1,38,1,6,"Bachelor Degree"
"20970",NA,13,16,8,5,8,2,40,1,NA,"Bachelor Degree"
"20971",7,17,20,9,3,7,1,36,1,3,"Postgraduate Degree"
"20972",2,7,14,NA,2,6,1,57,1,8,"Leaving Certificate"
"20973",10,7,13,NA,6,7,1,NA,1,0,"Leaving Certificate"
"20974",5,3,11,NA,2,5,1,70,1,5,"Junior Cycle"
"20975",4,3,10,5,2,10,1,46,2,6,"Junior Cycle"
"20976",7,6,13,NA,7,9,1,55,1,3,"Leaving Certificate"
"20977",9,13,17,4,1,8,2,33,1,1,"Bachelor Degree"
"20978",8,13,17,6,4,8,2,31,1,2,"Bachelor Degree"
"20979",5,15,17,NA,6,10,2,21,1,5,"Bachelor Degree"
"20980",1,14,20,6,4,1,2,44,1,9,"Bachelor Degree"
"20981",10,4,12,2,7,10,2,74,1,0,"Junior Cycle"
"20982",NA,3,12,NA,NA,8,2,29,2,NA,"Junior Cycle"
"20983",0,6,13,NA,0,8,2,44,1,10,"Leaving Certificate"
"20984",5,3,3,NA,6,7,1,49,2,5,"Junior Cycle"
"20985",NA,3,11,NA,NA,8,1,43,2,NA,"Junior Cycle"
"20986",7,3,12,2,1,7,1,80,1,3,"Junior Cycle"
"20987",6,17,24,NA,4,8,1,55,1,4,"Postgraduate Degree"
"20988",5,10,16,7,5,5,2,42,1,5,"Advanced Certificate"
"20989",NA,3,9,NA,0,0,2,64,1,NA,"Junior Cycle"
"20990",5,6,14,6,1,7,2,44,1,5,"Leaving Certificate"
"20991",5,6,15,7,6,7,2,34,1,5,"Leaving Certificate"
"20992",5,3,9,3,7,7,2,75,1,5,"Junior Cycle"
"20993",1,6,13,4,5,9,2,27,2,9,"Leaving Certificate"
"20994",4,1,5,NA,5,1,1,NA,1,6,"Junior Cycle"
"20995",1,17,20,NA,4,5,2,53,1,9,"Postgraduate Degree"
"20996",5,18,19,NA,5,3,1,47,1,5,"Postgraduate Degree"
"20997",NA,8,16,NA,6,7,2,34,1,NA,"Leaving Certificate"
"20998",1,14,22,4,1,8,2,62,1,9,"Bachelor Degree"
"20999",5,14,17,10,5,7,1,39,1,5,"Bachelor Degree"
"21000",8,14,20,8,7,10,2,78,1,2,"Bachelor Degree"
"21001",6,6,NA,1,6,7,2,40,1,4,"Leaving Certificate"
"21002",5,2,5,NA,6,2,2,NA,1,5,"Junior Cycle"
"21003",9,17,20,5,6,8,2,39,1,1,"Postgraduate Degree"
"21004",NA,13,16,NA,6,8,2,27,2,NA,"Bachelor Degree"
"21005",5,9,14,2,5,9,2,52,2,5,"Leaving Certificate"
"21006",8,15,16,2,8,5,2,41,2,2,"Bachelor Degree"
"21007",9,6,18,4,NA,9,1,27,2,1,"Leaving Certificate"
"21008",3,16,17,10,0,3,1,76,2,7,"Postgraduate Degree"
"21009",6,1,0,3,2,8,2,83,1,4,"Junior Cycle"
"21010",5,2,8,1,6,8,2,79,1,5,"Junior Cycle"
"21011",7,6,18,NA,2,7,1,65,1,3,"Leaving Certificate"
"21012",6,17,20,NA,7,8,2,39,1,4,"Postgraduate Degree"
"21013",6,14,17,10,5,10,1,34,1,4,"Bachelor Degree"
"21014",8,3,11,1,2,9,2,73,1,2,"Junior Cycle"
"21015",4,6,13,NA,5,7,2,59,1,6,"Leaving Certificate"
"21016",NA,3,10,NA,6,5,2,62,1,NA,"Junior Cycle"
"21017",5,3,9,NA,5,7,2,87,1,5,"Junior Cycle"
"21018",1,6,14,NA,2,3,1,50,1,9,"Leaving Certificate"
"21019",0,12,16,2,2,5,2,48,1,10,"Advanced Certificate"
"21020",8,2,9,1,5,8,1,69,1,2,"Junior Cycle"
"21021",7,14,21,5,4,5,2,40,1,3,"Bachelor Degree"
"21022",7,3,8,NA,5,1,1,76,1,3,"Junior Cycle"
"21023",5,13,20,6,4,7,1,53,1,5,"Bachelor Degree"
"21024",7,13,17,1,6,8,2,62,1,3,"Bachelor Degree"
"21025",6,3,10,NA,4,9,1,16,1,4,"Junior Cycle"
"21026",9,17,18,5,6,10,1,27,1,1,"Postgraduate Degree"
"21027",6,4,10,6,8,7,1,82,1,4,"Junior Cycle"
"21028",7,9,14,4,6,7,2,41,1,3,"Leaving Certificate"
"21029",0,6,13,6,5,8,2,64,2,10,"Leaving Certificate"
"21030",NA,1,8,3,7,4,1,82,1,NA,"Junior Cycle"
"21031",7,4,14,5,4,6,1,62,1,3,"Junior Cycle"
"21032",6,4,13,1,2,2,2,63,1,4,"Junior Cycle"
"21033",5,15,NA,NA,3,5,2,NA,2,5,"Bachelor Degree"
"21034",10,17,25,5,7,8,1,64,2,0,"Postgraduate Degree"
"21035",7,2,6,7,8,5,2,55,1,3,"Junior Cycle"
"21036",5,6,14,NA,7,10,1,19,1,5,"Leaving Certificate"
"21037",7,16,20,10,7,8,2,39,1,3,"Postgraduate Degree"
"21038",6,17,19,9,7,7,1,74,2,4,"Postgraduate Degree"
"21039",7,11,13,3,5,7,2,67,1,3,"Advanced Certificate"
"21040",9,14,17,10,2,7,1,48,1,1,"Bachelor Degree"
"21041",5,6,18,NA,0,4,2,49,1,5,"Leaving Certificate"
"21042",7,6,14,4,5,7,1,69,1,3,"Leaving Certificate"
"21043",8,3,9,1,4,1,2,80,1,2,"Junior Cycle"
"21044",5,15,18,NA,5,6,2,55,1,5,"Bachelor Degree"
"21045",5,14,18,8,1,6,1,29,1,5,"Bachelor Degree"
"21046",7,6,15,NA,6,6,2,24,1,3,"Leaving Certificate"
"21047",3,18,20,NA,1,7,1,59,1,7,"Postgraduate Degree"
"21048",5,9,15,3,7,9,2,51,1,5,"Leaving Certificate"
"21049",0,6,13,2,5,10,2,34,2,10,"Leaving Certificate"
"21050",5,6,13,3,8,9,2,87,1,5,"Leaving Certificate"
"21051",9,6,18,3,0,3,2,26,1,1,"Leaving Certificate"
"21052",5,17,19,NA,6,5,1,68,1,5,"Postgraduate Degree"
"21053",8,3,11,NA,9,9,1,90,2,2,"Junior Cycle"
"21054",5,6,13,5,4,8,2,21,1,5,"Leaving Certificate"
"21055",7,2,10,2,2,7,2,82,1,3,"Junior Cycle"
"21056",0,9,16,6,4,3,2,40,1,10,"Leaving Certificate"
"21057",2,9,16,10,4,4,2,56,2,8,"Leaving Certificate"
"21058",NA,16,16,NA,5,3,2,22,1,NA,"Postgraduate Degree"
"21059",3,16,26,1,0,9,2,76,2,7,"Postgraduate Degree"
"21060",2,14,20,5,3,3,2,43,1,8,"Bachelor Degree"
"21061",7,6,13,3,4,6,2,70,1,3,"Leaving Certificate"
"21062",6,16,21,NA,5,6,2,44,1,4,"Postgraduate Degree"
"21063",2,9,17,4,2,3,2,65,1,8,"Leaving Certificate"
"21064",5,17,24,7,5,8,2,43,1,5,"Postgraduate Degree"
"21065",1,7,14,6,7,5,1,47,1,9,"Leaving Certificate"
"21066",8,16,17,8,8,7,1,75,1,2,"Postgraduate Degree"
"21067",6,2,9,3,9,5,1,NA,1,4,"Junior Cycle"
"21068",8,18,22,NA,5,9,2,73,1,2,"Postgraduate Degree"
"21069",9,3,13,NA,0,6,1,65,2,1,"Junior Cycle"
"21070",5,17,23,4,2,8,1,35,1,5,"Postgraduate Degree"
"21071",7,14,16,10,7,7,1,41,2,3,"Bachelor Degree"
"21072",9,6,13,NA,6,10,1,86,1,1,"Leaving Certificate"
"21073",8,17,20,1,NA,10,2,36,2,2,"Postgraduate Degree"
"21074",8,7,14,4,1,9,2,34,1,2,"Leaving Certificate"
"21075",7,14,17,8,7,8,2,65,1,3,"Bachelor Degree"
"21076",9,3,10,NA,8,8,1,83,1,1,"Junior Cycle"
"21077",2,11,17,7,5,7,1,79,1,8,"Advanced Certificate"
"21078",8,6,14,9,6,8,1,60,1,2,"Leaving Certificate"
"21079",8,17,20,7,7,9,1,37,1,2,"Postgraduate Degree"
"21080",8,3,9,8,5,10,1,58,1,2,"Junior Cycle"
"21081",10,9,15,NA,2,3,1,22,1,0,"Leaving Certificate"
"21082",NA,15,18,2,6,7,2,27,2,NA,"Bachelor Degree"
"21083",5,15,16,9,7,7,1,46,1,5,"Bachelor Degree"
"21084",6,17,19,NA,5,10,2,39,1,4,"Postgraduate Degree"
"21085",7,10,18,NA,5,5,2,NA,2,3,"Advanced Certificate"
"21086",7,7,14,6,5,10,2,43,2,3,"Leaving Certificate"
"21087",8,13,16,7,2,10,2,22,1,2,"Bachelor Degree"
"21088",5,13,16,NA,5,6,1,40,1,5,"Bachelor Degree"
"21089",5,17,17,NA,7,10,1,40,2,5,"Postgraduate Degree"
"21090",5,4,12,3,4,7,2,45,2,5,"Junior Cycle"
"21091",7,12,14,3,5,6,1,51,1,3,"Advanced Certificate"
"21092",NA,9,15,1,0,5,2,30,1,NA,"Leaving Certificate"
"21093",9,17,19,10,6,8,1,37,2,1,"Postgraduate Degree"
"21094",10,4,15,6,NA,8,1,74,2,0,"Junior Cycle"
"21095",7,17,18,6,6,7,1,70,1,3,"Postgraduate Degree"
"21096",4,3,11,NA,2,5,1,70,1,6,"Junior Cycle"
"21097",10,7,16,3,NA,8,2,51,2,0,"Leaving Certificate"
"21098",7,2,8,4,7,6,1,74,1,3,"Junior Cycle"
"21099",8,10,16,NA,9,8,2,41,1,2,"Advanced Certificate"
"21100",3,16,NA,NA,5,2,2,33,1,7,"Postgraduate Degree"
"21101",6,18,22,10,6,10,2,42,1,4,"Postgraduate Degree"
"21102",5,2,8,2,5,5,2,84,1,5,"Junior Cycle"
"21103",5,2,8,NA,7,6,2,66,1,5,"Junior Cycle"
"21104",4,12,16,2,3,5,1,68,1,6,"Advanced Certificate"
"21105",8,9,20,6,0,8,1,51,2,2,"Leaving Certificate"
"21106",NA,3,13,NA,4,3,2,NA,1,NA,"Junior Cycle"
"21107",7,15,17,10,6,7,1,45,1,3,"Bachelor Degree"
"21108",NA,9,14,NA,7,NA,2,36,1,NA,"Leaving Certificate"
"21109",0,8,17,8,3,0,1,42,1,10,"Leaving Certificate"
"21110",8,17,23,4,4,8,2,73,1,2,"Postgraduate Degree"
"21111",3,3,NA,8,5,6,1,63,1,7,"Junior Cycle"
"21112",4,15,17,1,5,7,2,23,2,6,"Bachelor Degree"
"21113",8,15,23,6,7,9,2,69,1,2,"Bachelor Degree"
"21114",10,7,17,6,NA,8,2,26,2,0,"Leaving Certificate"
"21115",8,6,13,1,7,9,1,67,1,2,"Leaving Certificate"
"21116",6,6,14,2,0,10,2,33,1,4,"Leaving Certificate"
"21117",5,6,15,5,2,7,1,72,1,5,"Leaving Certificate"
"21118",9,6,13,2,NA,7,1,19,2,1,"Leaving Certificate"
"21119",4,15,16,NA,8,7,2,28,1,6,"Bachelor Degree"
"21120",7,3,12,4,1,8,1,64,1,3,"Junior Cycle"
"21121",4,12,18,1,0,5,1,53,1,6,"Advanced Certificate"
"21122",5,7,17,2,0,7,2,40,1,5,"Leaving Certificate"
"21123",7,15,19,6,5,5,1,70,1,3,"Bachelor Degree"
"21124",10,14,18,6,5,10,1,40,2,0,"Bachelor Degree"
"21125",9,10,13,2,0,8,2,53,1,1,"Advanced Certificate"
"21126",7,12,16,8,6,8,2,39,1,3,"Advanced Certificate"
"21127",6,2,7,NA,5,3,1,85,1,4,"Junior Cycle"
"21128",NA,3,12,NA,7,4,1,64,1,NA,"Junior Cycle"
"21129",5,3,12,2,0,5,2,66,1,5,"Junior Cycle"
"21130",7,13,19,3,0,9,2,59,1,3,"Bachelor Degree"
"21131",0,2,8,1,3,4,1,71,1,10,"Junior Cycle"
"21132",1,6,15,1,1,1,1,28,1,9,"Leaving Certificate"
"21133",8,7,13,1,3,6,2,29,1,2,"Leaving Certificate"
"21134",8,7,14,NA,6,4,1,38,1,2,"Leaving Certificate"
"21135",5,14,18,10,6,9,2,57,1,5,"Bachelor Degree"
"21136",NA,NA,15,NA,0,8,2,83,1,NA,NA
"21137",5,5,14,2,1,NA,2,48,1,5,"Leaving Certificate"
"21138",2,7,15,NA,1,8,2,36,1,8,"Leaving Certificate"
"21139",5,12,NA,5,5,10,2,45,2,5,"Advanced Certificate"
"21140",9,6,14,4,NA,10,2,19,2,1,"Leaving Certificate"
"21141",7,5,11,6,6,2,1,81,1,3,"Leaving Certificate"
"21142",5,14,17,9,6,8,1,34,1,5,"Bachelor Degree"
"21143",7,7,18,3,1,7,1,26,1,3,"Leaving Certificate"
"21144",8,6,13,5,6,9,2,65,1,2,"Leaving Certificate"
"21145",5,8,15,NA,2,6,1,24,1,5,"Leaving Certificate"
"21146",7,6,13,8,0,7,1,22,2,3,"Leaving Certificate"
"21147",8,7,14,3,7,10,2,71,1,2,"Leaving Certificate"
"21148",5,13,17,9,5,8,1,44,1,5,"Bachelor Degree"
"21149",6,6,13,NA,8,3,2,68,1,4,"Leaving Certificate"
"21150",5,11,15,9,4,6,2,49,1,5,"Advanced Certificate"
"21151",5,6,13,NA,5,7,2,71,1,5,"Leaving Certificate"
"21152",6,17,17,10,5,9,2,59,1,4,"Postgraduate Degree"
"21153",8,17,18,NA,NA,10,1,31,2,2,"Postgraduate Degree"
"21154",7,18,21,NA,3,9,1,40,1,3,"Postgraduate Degree"
"21155",3,17,18,10,0,5,1,33,1,7,"Postgraduate Degree"
"21156",0,1,8,3,0,3,2,78,1,10,"Junior Cycle"
"21157",8,4,10,2,1,10,1,63,1,2,"Junior Cycle"
"21158",7,6,14,1,5,7,2,NA,2,3,"Leaving Certificate"
"21159",5,16,19,NA,6,10,2,47,1,5,"Postgraduate Degree"
"21160",9,6,13,NA,1,7,2,49,1,1,"Leaving Certificate"
"21161",9,7,15,3,0,10,1,42,2,1,"Leaving Certificate"
"21162",7,3,10,1,7,8,1,83,1,3,"Junior Cycle"
"21163",NA,14,16,NA,NA,8,2,30,2,NA,"Bachelor Degree"
"21164",5,7,14,8,6,8,2,20,2,5,"Leaving Certificate"
"21165",2,12,17,9,3,8,1,43,1,8,"Advanced Certificate"
"21166",8,8,14,2,2,5,1,57,1,2,"Leaving Certificate"
"21167",6,6,14,6,3,6,2,63,1,4,"Leaving Certificate"
"21168",1,13,20,10,5,5,2,53,1,9,"Bachelor Degree"
"21169",5,13,15,NA,5,9,1,39,1,5,"Bachelor Degree"
"21170",4,14,17,8,6,9,1,80,1,6,"Bachelor Degree"
"21171",10,2,12,1,4,7,2,67,1,0,"Junior Cycle"
"21172",5,10,15,6,2,5,2,41,1,5,"Advanced Certificate"
"21173",5,5,15,10,1,5,2,57,1,5,"Leaving Certificate"
"21174",6,NA,NA,NA,9,3,1,81,1,4,NA
"21175",NA,12,15,1,0,9,2,74,2,NA,"Advanced Certificate"
"21176",NA,3,12,NA,1,1,2,62,1,NA,"Junior Cycle"
"21177",8,15,18,10,0,8,2,33,1,2,"Bachelor Degree"
"21178",2,13,17,10,5,7,2,38,1,8,"Bachelor Degree"
"21179",8,11,NA,NA,7,9,2,39,1,2,"Advanced Certificate"
"21180",4,3,11,1,4,3,2,68,1,6,"Junior Cycle"
"21181",9,3,12,3,6,1,1,41,1,1,"Junior Cycle"
"21182",5,6,13,3,7,8,2,45,1,5,"Leaving Certificate"
"21183",5,14,18,5,4,10,1,44,2,5,"Bachelor Degree"
"21184",NA,14,22,10,6,10,2,29,2,NA,"Bachelor Degree"
"21185",7,6,14,2,3,9,1,50,1,3,"Leaving Certificate"
"21186",3,12,14,6,6,9,1,42,2,7,"Advanced Certificate"
"21187",6,14,20,NA,1,9,2,45,1,4,"Bachelor Degree"
"21188",7,2,8,1,4,1,1,68,1,3,"Junior Cycle"
"21189",8,17,16,NA,7,10,1,29,2,2,"Postgraduate Degree"
"21190",10,17,23,3,8,10,2,30,2,0,"Postgraduate Degree"
"21191",6,16,17,9,NA,8,2,68,2,4,"Postgraduate Degree"
"21192",2,3,9,1,NA,0,2,87,1,8,"Junior Cycle"
"21193",4,16,18,NA,5,6,1,78,1,6,"Postgraduate Degree"
"21194",10,17,16,7,5,9,1,48,2,0,"Postgraduate Degree"
"21195",7,17,65,8,7,7,1,71,1,3,"Postgraduate Degree"
"21196",4,5,9,2,6,3,2,67,1,6,"Leaving Certificate"
"21197",5,9,18,4,2,3,2,33,1,5,"Leaving Certificate"
"21198",8,6,13,8,7,7,2,64,1,2,"Leaving Certificate"
"21199",9,14,18,1,NA,9,2,33,2,1,"Bachelor Degree"
"21200",7,6,14,2,0,3,1,83,1,3,"Leaving Certificate"
"21201",1,6,13,NA,9,6,1,83,1,9,"Leaving Certificate"
"21202",NA,13,15,NA,4,3,2,20,1,NA,"Bachelor Degree"
"21203",NA,6,18,4,3,9,2,38,2,NA,"Leaving Certificate"
"21204",8,2,8,1,5,7,1,40,1,2,"Junior Cycle"
"21205",7,6,14,2,0,8,2,28,1,3,"Leaving Certificate"
"21206",5,5,12,1,1,10,2,75,2,5,"Leaving Certificate"
"21207",10,13,16,7,0,10,1,68,1,0,"Bachelor Degree"
"21208",5,11,17,NA,0,5,2,64,1,5,"Advanced Certificate"
"21209",6,2,8,1,5,5,1,48,1,4,"Junior Cycle"
"21210",7,10,15,9,6,10,1,38,1,3,"Advanced Certificate"
"21211",5,7,14,NA,4,8,2,90,1,5,"Leaving Certificate"
"21212",7,13,20,9,5,6,2,40,1,3,"Bachelor Degree"
"21213",6,6,NA,2,5,6,2,44,1,4,"Leaving Certificate"
"21214",4,2,9,3,7,9,1,76,1,6,"Junior Cycle"
"21215",5,13,18,NA,8,8,2,29,1,5,"Bachelor Degree"
"21216",1,6,14,3,0,8,1,63,2,9,"Leaving Certificate"
"21217",0,9,NA,3,0,10,2,32,1,10,"Leaving Certificate"
"21218",6,4,13,NA,2,0,1,39,1,4,"Junior Cycle"
"21219",5,12,15,5,7,7,1,29,1,5,"Advanced Certificate"
"21220",4,16,20,6,0,6,2,50,1,6,"Postgraduate Degree"
"21221",5,NA,NA,6,7,6,1,41,2,5,NA
"21222",NA,2,8,1,NA,6,1,58,1,NA,"Junior Cycle"
"21223",5,14,18,10,4,8,2,26,1,5,"Bachelor Degree"
"21224",9,13,16,3,7,8,2,61,2,1,"Bachelor Degree"
"21225",6,9,14,5,2,2,1,58,1,4,"Leaving Certificate"
"21226",10,6,13,3,7,8,2,NA,1,0,"Leaving Certificate"
"21227",1,4,13,5,2,2,1,57,1,9,"Junior Cycle"
"21228",8,3,9,NA,3,9,2,50,1,2,"Junior Cycle"
"21229",1,7,13,4,4,5,1,45,2,9,"Leaving Certificate"
"21230",1,6,14,2,2,3,2,41,1,9,"Leaving Certificate"
"21231",9,10,14,3,2,5,2,59,1,1,"Advanced Certificate"
"21232",5,7,13,4,0,4,2,52,1,5,"Leaving Certificate"
"21233",6,2,10,NA,6,3,2,84,1,4,"Junior Cycle"
"21234",0,6,14,NA,0,1,1,33,1,10,"Leaving Certificate"
"21235",8,1,8,4,0,6,1,75,1,2,"Junior Cycle"
"21236",2,10,14,NA,0,6,1,31,1,8,"Advanced Certificate"
"21237",5,14,19,NA,6,9,2,55,2,5,"Bachelor Degree"
"21238",5,8,14,NA,0,2,2,59,1,5,"Leaving Certificate"
"21239",6,13,15,1,2,9,2,73,1,4,"Bachelor Degree"
"21240",6,8,15,4,6,7,1,22,1,4,"Leaving Certificate"
"21241",6,16,18,NA,7,7,1,67,1,4,"Postgraduate Degree"
"21242",8,13,NA,NA,6,8,1,69,1,2,"Bachelor Degree"
"21243",10,6,13,3,5,10,2,66,2,0,"Leaving Certificate"
"21244",8,3,9,10,7,8,1,65,1,2,"Junior Cycle"
"21245",9,6,13,1,NA,10,1,29,2,1,"Leaving Certificate"
"21246",6,12,16,7,4,8,2,52,1,4,"Advanced Certificate"
"21247",5,3,12,NA,8,NA,1,78,1,5,"Junior Cycle"
"21248",NA,1,8,NA,6,6,2,90,1,NA,"Junior Cycle"
