"","euftf","edlvdie","eduyrs","hinctnta","trstplt","imwbcnt","gndr","agea","brncntr","euftf_re","edu_cat"
"21958",8,9,14,3,6,7,2,63,1,2,"Leaving Certificate"
"21959",9,3,11,2,2,5,1,62,1,1,"Junior Cycle"
"21960",3,4,14,3,5,6,2,57,1,7,"Junior Cycle"
"21961",7,6,15,6,0,8,1,62,1,3,"Leaving Certificate"
"21962",6,2,8,1,2,3,1,67,1,4,"Junior Cycle"
"21963",2,2,8,3,3,4,1,68,1,8,"Junior Cycle"
"21964",7,12,16,3,4,7,2,46,1,3,"Advanced Certificate"
"21965",8,6,20,3,9,7,1,27,2,2,"Leaving Certificate"
"21966",7,6,14,1,1,7,2,71,1,3,"Leaving Certificate"
"21967",0,6,14,4,2,10,2,42,1,10,"Leaving Certificate"
"21968",6,13,NA,8,6,8,2,59,1,4,"Bachelor Degree"
"21969",8,3,13,2,8,9,1,62,1,2,"Junior Cycle"
"21970",7,6,14,1,6,8,1,61,1,3,"Leaving Certificate"
"21971",7,5,14,4,3,2,2,23,1,3,"Leaving Certificate"
"21972",5,11,18,8,1,8,1,64,1,5,"Advanced Certificate"
"21973",8,6,13,NA,0,5,2,74,1,2,"Leaving Certificate"
"21974",7,13,19,7,10,8,2,34,2,3,"Bachelor Degree"
"21975",4,12,15,NA,2,6,2,78,1,6,"Advanced Certificate"
"21976",8,3,12,8,5,7,2,62,1,2,"Junior Cycle"
"21977",5,13,18,10,7,6,2,57,2,5,"Bachelor Degree"
"21978",3,3,11,1,3,5,2,57,1,7,"Junior Cycle"
"21979",5,3,12,NA,3,9,2,61,1,5,"Junior Cycle"
"21980",5,2,10,1,5,7,2,57,1,5,"Junior Cycle"
"21981",5,15,18,NA,3,7,2,28,1,5,"Bachelor Degree"
"21982",8,6,13,4,7,9,2,52,1,2,"Leaving Certificate"
"21983",6,6,14,5,6,10,1,60,1,4,"Leaving Certificate"
"21984",NA,15,NA,10,5,10,2,42,2,NA,"Bachelor Degree"
"21985",1,13,17,6,3,6,1,62,1,9,"Bachelor Degree"
"21986",5,14,19,NA,5,9,2,36,1,5,"Bachelor Degree"
"21987",6,7,NA,7,9,7,1,62,1,4,"Leaving Certificate"
"21988",2,2,8,1,5,5,2,84,1,8,"Junior Cycle"
"21989",8,4,15,6,5,7,2,54,1,2,"Junior Cycle"
"21990",8,7,18,3,4,8,2,46,1,2,"Leaving Certificate"
"21991",5,14,17,10,2,7,2,24,1,5,"Bachelor Degree"
"21992",5,3,10,4,4,5,2,51,1,5,"Junior Cycle"
"21993",NA,3,12,1,3,2,2,67,1,NA,"Junior Cycle"
"21994",5,4,12,2,6,8,1,85,1,5,"Junior Cycle"
"21995",8,6,15,3,0,9,2,NA,2,2,"Leaving Certificate"
"21996",4,3,11,2,1,3,1,70,1,6,"Junior Cycle"
"21997",5,2,8,1,1,5,1,NA,1,5,"Junior Cycle"
"21998",NA,7,13,NA,8,6,1,35,1,NA,"Leaving Certificate"
"21999",8,3,9,2,5,8,1,39,1,2,"Junior Cycle"
"22000",NA,14,16,8,4,8,1,27,2,NA,"Bachelor Degree"
"22001",8,8,NA,1,4,NA,2,70,1,2,"Leaving Certificate"
"22002",7,17,19,10,6,8,2,46,1,3,"Postgraduate Degree"
"22003",2,8,16,6,0,6,1,45,1,8,"Leaving Certificate"
"22004",6,4,15,6,2,4,2,40,1,4,"Junior Cycle"
"22005",7,12,NA,6,8,4,2,62,2,3,"Advanced Certificate"
"22006",7,14,17,5,4,9,1,NA,2,3,"Bachelor Degree"
"22007",4,17,17,NA,2,7,2,73,1,6,"Postgraduate Degree"
"22008",8,13,17,NA,6,6,2,20,1,2,"Bachelor Degree"
"22009",4,13,16,NA,0,5,1,46,1,6,"Bachelor Degree"
"22010",3,6,14,NA,0,2,2,NA,1,7,"Leaving Certificate"
"22011",5,3,11,2,1,4,2,72,1,5,"Junior Cycle"
"22012",6,17,18,8,4,7,1,43,1,4,"Postgraduate Degree"
"22013",5,13,18,NA,6,5,1,35,1,5,"Bachelor Degree"
"22014",5,3,9,NA,4,5,1,23,1,5,"Junior Cycle"
"22015",10,16,21,8,9,10,1,32,2,0,"Postgraduate Degree"
"22016",2,16,NA,3,0,5,1,90,1,8,"Postgraduate Degree"
"22017",5,6,14,9,2,9,2,47,1,5,"Leaving Certificate"
"22018",3,5,11,6,2,4,1,39,1,7,"Leaving Certificate"
"22019",5,18,21,3,5,8,2,46,2,5,"Postgraduate Degree"
"22020",6,17,20,4,5,6,1,39,2,4,"Postgraduate Degree"
"22021",8,3,11,4,5,6,1,83,1,2,"Junior Cycle"
"22022",5,6,18,NA,2,6,2,80,1,5,"Leaving Certificate"
"22023",4,14,18,8,2,10,2,39,1,6,"Bachelor Degree"
"22024",5,13,18,7,4,8,2,42,1,5,"Bachelor Degree"
"22025",2,4,12,3,2,4,1,37,1,8,"Junior Cycle"
"22026",5,7,16,6,3,10,2,34,1,5,"Leaving Certificate"
"22027",10,6,13,4,4,10,1,18,2,0,"Leaving Certificate"
"22028",9,17,19,6,6,10,2,57,2,1,"Postgraduate Degree"
"22029",7,5,10,4,1,2,1,74,1,3,"Leaving Certificate"
"22030",10,3,13,5,3,7,1,56,2,0,"Junior Cycle"
"22031",1,5,17,NA,0,1,2,55,2,9,"Leaving Certificate"
"22032",6,10,16,4,10,8,2,42,2,4,"Advanced Certificate"
"22033",5,2,9,2,1,5,1,65,1,5,"Junior Cycle"
"22034",5,3,11,NA,0,5,1,59,1,5,"Junior Cycle"
"22035",5,13,17,NA,0,4,2,36,1,5,"Bachelor Degree"
"22036",1,4,11,1,NA,3,2,79,1,9,"Junior Cycle"
"22037",NA,16,18,5,6,7,1,45,1,NA,"Postgraduate Degree"
"22038",5,14,18,9,4,5,1,44,2,5,"Bachelor Degree"
"22039",5,4,10,1,0,9,2,NA,1,5,"Junior Cycle"
"22040",NA,6,13,2,2,4,2,45,1,NA,"Leaving Certificate"
"22041",5,15,18,7,2,5,2,62,1,5,"Bachelor Degree"
"22042",3,3,11,NA,8,6,1,84,1,7,"Junior Cycle"
"22043",5,16,19,6,1,7,2,49,1,5,"Postgraduate Degree"
"22044",1,13,16,9,5,7,1,61,2,9,"Bachelor Degree"
"22045",5,8,14,NA,3,5,1,64,1,5,"Leaving Certificate"
"22046",0,6,NA,2,3,9,2,35,2,10,"Leaving Certificate"
"22047",5,16,17,6,3,5,1,76,1,5,"Postgraduate Degree"
"22048",5,5,11,5,6,6,2,68,1,5,"Leaving Certificate"
"22049",4,9,15,NA,5,5,1,86,1,6,"Leaving Certificate"
"22050",5,14,16,6,6,8,2,19,1,5,"Bachelor Degree"
"22051",7,16,21,10,7,5,2,53,1,3,"Postgraduate Degree"
"22052",5,NA,14,NA,5,6,2,42,1,5,NA
"22053",8,3,12,NA,5,6,2,16,1,2,"Junior Cycle"
"22054",4,13,15,2,6,7,2,90,1,6,"Bachelor Degree"
"22055",10,3,12,9,1,8,2,16,1,0,"Junior Cycle"
"22056",5,17,21,NA,1,5,2,47,2,5,"Postgraduate Degree"
"22057",6,15,NA,8,6,8,1,35,1,4,"Bachelor Degree"
"22058",6,17,17,6,0,10,1,35,1,4,"Postgraduate Degree"
"22059",NA,3,13,NA,2,5,2,73,1,NA,"Junior Cycle"
"22060",5,16,19,NA,4,5,2,35,1,5,"Postgraduate Degree"
"22061",3,6,13,NA,7,3,2,84,1,7,"Leaving Certificate"
"22062",7,12,15,9,4,7,2,58,1,3,"Advanced Certificate"
"22063",5,17,20,NA,9,10,1,37,1,5,"Postgraduate Degree"
"22064",5,6,13,NA,0,5,2,74,1,5,"Leaving Certificate"
"22065",5,9,14,5,5,8,2,29,2,5,"Leaving Certificate"
"22066",7,6,15,2,8,8,2,30,1,3,"Leaving Certificate"
"22067",1,16,18,10,5,8,1,57,1,9,"Postgraduate Degree"
"22068",8,3,11,3,6,8,2,32,1,2,"Junior Cycle"
"22069",6,14,18,NA,2,0,1,33,1,4,"Bachelor Degree"
"22070",3,7,16,6,2,4,1,53,1,7,"Leaving Certificate"
"22071",2,6,14,1,2,2,1,72,1,8,"Leaving Certificate"
"22072",9,6,15,3,1,8,2,57,1,1,"Leaving Certificate"
"22073",5,4,12,2,5,10,2,46,2,5,"Junior Cycle"
"22074",5,16,16,8,4,9,2,60,1,5,"Postgraduate Degree"
"22075",5,3,11,5,4,7,2,74,1,5,"Junior Cycle"
"22076",NA,17,17,NA,4,6,2,27,1,NA,"Postgraduate Degree"
"22077",5,7,15,6,NA,7,1,45,2,5,"Leaving Certificate"
"22078",5,10,18,NA,6,10,2,34,1,5,"Advanced Certificate"
"22079",9,7,18,4,7,10,1,29,2,1,"Leaving Certificate"
"22080",8,10,14,9,4,8,1,60,1,2,"Advanced Certificate"
"22081",NA,14,17,NA,7,5,1,25,1,NA,"Bachelor Degree"
"22082",NA,2,10,NA,4,3,2,75,1,NA,"Junior Cycle"
"22083",7,6,14,NA,6,9,1,21,1,3,"Leaving Certificate"
"22084",NA,7,15,NA,4,5,2,45,1,NA,"Leaving Certificate"
"22085",5,1,8,1,3,6,1,68,1,5,"Junior Cycle"
"22086",5,2,8,1,0,6,1,71,1,5,"Junior Cycle"
"22087",5,2,8,NA,0,8,2,54,1,5,"Junior Cycle"
"22088",9,15,17,3,5,8,1,61,2,1,"Bachelor Degree"
"22089",5,2,7,5,3,6,2,90,1,5,"Junior Cycle"
"22090",6,9,17,NA,4,4,1,56,2,4,"Leaving Certificate"
"22091",6,15,18,5,4,9,1,61,2,4,"Bachelor Degree"
"22092",8,13,17,5,8,8,1,61,1,2,"Bachelor Degree"
"22093",NA,5,12,NA,0,6,2,64,1,NA,"Leaving Certificate"
"22094",NA,6,14,NA,0,5,2,73,1,NA,"Leaving Certificate"
"22095",NA,10,15,4,6,4,2,25,1,NA,"Advanced Certificate"
"22096",8,2,9,3,7,7,1,75,1,2,"Junior Cycle"
"22097",NA,6,14,3,0,8,2,48,1,NA,"Leaving Certificate"
"22098",6,6,14,NA,6,6,2,74,1,4,"Leaving Certificate"
"22099",6,6,13,NA,5,7,1,46,1,4,"Leaving Certificate"
"22100",6,6,14,NA,5,9,2,87,1,4,"Leaving Certificate"
"22101",2,3,9,NA,5,5,2,62,1,8,"Junior Cycle"
"22102",3,12,13,3,5,5,1,55,1,7,"Advanced Certificate"
"22103",4,6,13,NA,5,3,1,72,1,6,"Leaving Certificate"
"22104",5,7,NA,6,9,7,1,69,2,5,"Leaving Certificate"
"22105",5,13,17,2,3,7,2,67,1,5,"Bachelor Degree"
"22106",2,17,18,4,3,6,2,61,2,8,"Postgraduate Degree"
"22107",8,13,14,5,3,7,2,62,1,2,"Bachelor Degree"
"22108",0,3,10,NA,5,8,1,60,1,10,"Junior Cycle"
"22109",8,17,18,2,5,6,1,72,2,2,"Postgraduate Degree"
"22110",8,3,10,3,0,10,1,73,1,2,"Junior Cycle"
"22111",5,6,18,NA,0,2,1,75,1,5,"Leaving Certificate"
"22112",10,16,17,5,1,7,2,63,1,0,"Postgraduate Degree"
"22113",NA,NA,15,NA,NA,10,2,22,2,NA,NA
"22114",6,2,10,3,5,3,2,75,1,4,"Junior Cycle"
"22115",4,3,11,1,7,5,2,69,2,6,"Junior Cycle"
"22116",5,16,24,NA,5,8,1,28,1,5,"Postgraduate Degree"
"22117",0,4,10,2,NA,10,2,54,1,10,"Junior Cycle"
"22118",5,6,13,2,8,7,2,59,1,5,"Leaving Certificate"
"22119",5,6,13,NA,9,5,2,87,1,5,"Leaving Certificate"
"22120",0,17,23,2,8,5,1,55,2,10,"Postgraduate Degree"
"22121",NA,15,20,7,4,8,1,46,1,NA,"Bachelor Degree"
"22122",6,7,14,NA,5,10,1,27,2,4,"Leaving Certificate"
"22123",8,15,18,7,4,4,2,30,1,2,"Bachelor Degree"
"22124",5,8,15,6,2,3,1,85,1,5,"Leaving Certificate"
"22125",5,6,NA,6,7,6,1,34,1,5,"Leaving Certificate"
"22126",6,2,8,1,5,9,1,78,1,4,"Junior Cycle"
"22127",5,14,18,NA,5,10,1,40,2,5,"Bachelor Degree"
"22128",6,1,6,7,4,1,1,84,1,4,"Junior Cycle"
"22129",2,15,16,10,4,7,2,43,2,8,"Bachelor Degree"
"22130",7,7,16,4,6,9,2,47,1,3,"Leaving Certificate"
"22131",7,14,18,9,6,8,1,31,1,3,"Bachelor Degree"
"22132",10,6,13,10,2,10,1,19,1,0,"Leaving Certificate"
"22133",9,17,16,7,9,8,1,43,1,1,"Postgraduate Degree"
"22134",5,14,16,7,3,5,2,46,1,5,"Bachelor Degree"
"22135",8,4,17,NA,8,6,1,76,1,2,"Junior Cycle"
"22136",10,7,14,2,0,10,1,66,1,0,"Leaving Certificate"
"22137",5,2,7,NA,3,NA,1,73,1,5,"Junior Cycle"
"22138",6,4,17,NA,5,8,2,74,1,4,"Junior Cycle"
"22139",7,16,16,8,7,9,1,65,2,3,"Postgraduate Degree"
"22140",6,12,14,4,5,6,1,46,1,4,"Advanced Certificate"
"22141",6,7,14,5,3,7,1,37,2,4,"Leaving Certificate"
"22142",5,13,23,NA,3,2,2,45,1,5,"Bachelor Degree"
"22143",7,6,13,NA,1,5,1,18,1,3,"Leaving Certificate"
"22144",7,9,13,NA,0,8,2,38,2,3,"Leaving Certificate"
"22145",6,2,10,NA,7,6,1,67,1,4,"Junior Cycle"
"22146",6,6,16,3,5,7,2,68,2,4,"Leaving Certificate"
"22147",7,14,18,NA,4,8,2,45,1,3,"Bachelor Degree"
"22148",5,17,18,6,4,8,1,78,1,5,"Postgraduate Degree"
"22149",7,8,NA,9,6,7,1,58,1,3,"Leaving Certificate"
"22150",NA,6,14,5,7,6,1,65,1,NA,"Leaving Certificate"
"22151",10,16,20,5,7,7,2,39,1,0,"Postgraduate Degree"
"22152",7,15,20,NA,8,8,1,NA,1,3,"Bachelor Degree"
"22153",5,6,14,NA,0,7,2,81,1,5,"Leaving Certificate"
"22154",4,1,5,NA,4,5,2,57,1,6,"Junior Cycle"
"22155",6,10,20,3,4,7,2,56,1,4,"Advanced Certificate"
"22156",NA,6,14,3,5,8,2,69,1,NA,"Leaving Certificate"
"22157",5,18,22,10,8,8,2,43,1,5,"Postgraduate Degree"
"22158",0,2,9,1,7,0,2,58,1,10,"Junior Cycle"
"22159",5,18,21,10,5,8,2,44,1,5,"Postgraduate Degree"
"22160",6,6,14,3,5,8,1,45,2,4,"Leaving Certificate"
"22161",3,12,16,2,5,7,2,78,2,7,"Advanced Certificate"
"22162",8,10,21,7,4,6,1,41,1,2,"Advanced Certificate"
"22163",8,17,18,8,5,8,2,62,1,2,"Postgraduate Degree"
"22164",9,3,9,4,6,6,1,72,1,1,"Junior Cycle"
"22165",6,4,10,7,8,5,2,49,1,4,"Junior Cycle"
"22166",5,2,9,1,0,10,2,80,1,5,"Junior Cycle"
"22167",6,5,13,NA,9,NA,2,47,2,4,"Leaving Certificate"
"22168",6,6,13,NA,2,8,2,54,1,4,"Leaving Certificate"
"22169",5,7,15,3,5,9,1,26,1,5,"Leaving Certificate"
"22170",8,16,18,3,4,8,2,26,1,2,"Postgraduate Degree"
"22171",3,15,16,5,6,8,2,32,1,7,"Bachelor Degree"
"22172",5,16,16,NA,5,10,2,49,1,5,"Postgraduate Degree"
"22173",0,6,18,NA,4,10,1,47,1,10,"Leaving Certificate"
"22174",8,7,13,NA,5,7,1,62,1,2,"Leaving Certificate"
"22175",5,11,14,9,NA,10,1,37,2,5,"Advanced Certificate"
"22176",NA,9,14,NA,NA,8,1,23,2,NA,"Leaving Certificate"
"22177",5,6,17,10,3,7,1,62,1,5,"Leaving Certificate"
"22178",8,13,16,5,3,8,1,67,1,2,"Bachelor Degree"
"22179",5,14,19,NA,4,10,2,42,1,5,"Bachelor Degree"
"22180",8,16,20,NA,7,8,2,26,2,2,"Postgraduate Degree"
"22181",5,9,15,2,5,7,1,48,1,5,"Leaving Certificate"
"22182",5,14,18,NA,4,5,2,44,1,5,"Bachelor Degree"
"22183",9,18,20,2,6,8,2,75,1,1,"Postgraduate Degree"
"22184",6,15,16,1,5,10,2,69,1,4,"Bachelor Degree"
"22185",2,7,18,NA,5,3,1,24,1,8,"Leaving Certificate"
"22186",8,2,9,3,5,10,1,82,1,2,"Junior Cycle"
"22187",8,6,16,NA,2,9,1,25,2,2,"Leaving Certificate"
"22188",3,2,7,6,2,2,1,78,1,7,"Junior Cycle"
"22189",7,16,18,6,5,8,2,45,1,3,"Postgraduate Degree"
"22190",6,10,NA,6,4,6,1,46,1,4,"Advanced Certificate"
"22191",9,14,18,9,7,9,1,28,1,1,"Bachelor Degree"
"22192",7,3,11,1,4,7,2,72,1,3,"Junior Cycle"
"22193",2,12,NA,NA,5,5,1,50,1,8,"Advanced Certificate"
"22194",5,7,14,NA,0,5,1,82,1,5,"Leaving Certificate"
"22195",7,13,16,NA,7,7,1,62,1,3,"Bachelor Degree"
"22196",5,5,9,2,5,5,2,71,1,5,"Leaving Certificate"
"22197",3,17,24,NA,1,6,1,28,2,7,"Postgraduate Degree"
"22198",4,6,13,NA,6,5,2,76,1,6,"Leaving Certificate"
"22199",5,18,29,1,5,7,1,49,1,5,"Postgraduate Degree"
"22200",9,7,14,6,0,2,1,65,1,1,"Leaving Certificate"
"22201",NA,9,15,NA,5,4,2,42,1,NA,"Leaving Certificate"
"22202",2,12,13,NA,4,4,1,20,1,8,"Advanced Certificate"
"22203",7,15,16,6,5,7,2,40,1,3,"Bachelor Degree"
"22204",6,6,14,3,NA,4,1,43,1,4,"Leaving Certificate"
"22205",5,17,21,7,0,8,2,52,1,5,"Postgraduate Degree"
"22206",6,4,14,3,6,2,1,51,1,4,"Junior Cycle"
"22207",5,1,6,NA,7,0,2,90,1,5,"Junior Cycle"
"22208",NA,12,14,9,3,8,2,54,1,NA,"Advanced Certificate"
"22209",7,3,11,3,2,8,2,56,1,3,"Junior Cycle"
"22210",1,6,14,3,3,7,2,37,1,9,"Leaving Certificate"
"22211",5,7,13,NA,7,5,2,44,1,5,"Leaving Certificate"
"22212",9,6,14,3,5,8,2,62,1,1,"Leaving Certificate"
"22213",8,17,19,10,7,9,2,68,1,2,"Postgraduate Degree"
"22214",8,3,14,2,9,9,1,63,1,2,"Junior Cycle"
"22215",8,2,8,1,4,8,2,NA,1,2,"Junior Cycle"
"22216",6,3,8,6,5,8,2,59,1,4,"Junior Cycle"
"22217",7,7,13,3,2,6,2,36,1,3,"Leaving Certificate"
"22218",5,6,17,2,1,7,1,80,1,5,"Leaving Certificate"
"22219",6,13,15,5,3,5,1,35,1,4,"Bachelor Degree"
"22220",8,9,15,6,5,9,1,39,1,2,"Leaving Certificate"
"22221",7,1,6,3,0,6,1,61,1,3,"Junior Cycle"
"22222",6,14,20,8,8,8,1,75,1,4,"Bachelor Degree"
"22223",10,6,15,5,9,7,1,82,1,0,"Leaving Certificate"
"22224",6,10,16,NA,8,3,2,47,2,4,"Advanced Certificate"
"22225",6,2,10,5,8,4,2,81,1,4,"Junior Cycle"
"22226",6,3,8,NA,1,NA,2,58,2,4,"Junior Cycle"
"22227",8,7,15,4,1,8,2,28,1,2,"Leaving Certificate"
"22228",7,6,14,NA,4,8,1,65,1,3,"Leaving Certificate"
"22229",6,7,NA,NA,0,0,1,33,1,4,"Leaving Certificate"
"22230",10,15,18,7,6,7,2,37,1,0,"Bachelor Degree"
"22231",8,14,17,6,7,7,1,71,1,2,"Bachelor Degree"
"22232",3,17,19,8,1,7,2,45,1,7,"Postgraduate Degree"
"22233",5,12,21,4,6,6,2,78,1,5,"Advanced Certificate"
"22234",NA,3,12,2,3,6,2,47,2,NA,"Junior Cycle"
"22235",8,17,25,9,2,7,1,32,1,2,"Postgraduate Degree"
"22236",4,17,18,NA,3,6,2,44,1,6,"Postgraduate Degree"
"22237",6,17,20,4,5,7,2,60,1,4,"Postgraduate Degree"
"22238",7,6,13,5,4,5,2,68,1,3,"Leaving Certificate"
"22239",NA,1,5,NA,3,0,1,74,1,NA,"Junior Cycle"
"22240",7,2,7,1,0,8,2,73,1,3,"Junior Cycle"
"22241",6,3,11,NA,5,6,2,76,1,4,"Junior Cycle"
"22242",5,15,17,8,5,10,2,39,1,5,"Bachelor Degree"
"22243",8,12,13,7,0,5,2,52,1,2,"Advanced Certificate"
"22244",5,6,14,1,0,9,2,51,1,5,"Leaving Certificate"
"22245",7,16,22,6,3,7,1,62,1,3,"Postgraduate Degree"
"22246",5,2,8,1,3,8,2,71,1,5,"Junior Cycle"
"22247",8,13,14,NA,0,10,2,59,2,2,"Bachelor Degree"
"22248",0,4,8,NA,1,9,1,70,1,10,"Junior Cycle"
"22249",4,12,18,3,6,5,2,60,1,6,"Advanced Certificate"
"22250",9,3,12,NA,5,8,2,65,1,1,"Junior Cycle"
"22251",7,14,19,7,5,10,2,45,1,3,"Bachelor Degree"
"22252",3,13,16,NA,0,5,1,40,2,7,"Bachelor Degree"
"22253",5,10,14,7,7,4,1,54,1,5,"Advanced Certificate"
"22254",3,14,19,2,1,8,2,65,1,7,"Bachelor Degree"
"22255",NA,12,16,3,5,6,2,62,1,NA,"Advanced Certificate"
"22256",5,9,17,6,5,7,1,50,1,5,"Leaving Certificate"
"22257",4,13,16,10,0,7,2,47,1,6,"Bachelor Degree"
"22258",NA,5,12,3,5,10,1,46,2,NA,"Leaving Certificate"
"22259",7,17,19,9,7,10,1,38,1,3,"Postgraduate Degree"
"22260",4,14,21,4,4,7,2,56,2,6,"Bachelor Degree"
"22261",7,3,14,2,1,5,2,80,2,3,"Junior Cycle"
"22262",1,12,15,7,6,8,2,70,1,9,"Advanced Certificate"
"22263",4,17,17,NA,8,6,2,41,1,6,"Postgraduate Degree"
"22264",7,14,18,9,5,8,2,42,1,3,"Bachelor Degree"
"22265",5,17,17,NA,0,6,1,48,1,5,"Postgraduate Degree"
"22266",10,1,10,NA,NA,10,2,51,1,0,"Junior Cycle"
"22267",5,13,15,NA,7,7,2,53,1,5,"Bachelor Degree"
"22268",9,3,14,2,1,7,2,NA,1,1,"Junior Cycle"
"22269",0,17,17,2,7,8,2,43,2,10,"Postgraduate Degree"
"22270",3,7,20,6,5,5,2,43,1,7,"Leaving Certificate"
"22271",5,3,11,NA,5,7,1,60,1,5,"Junior Cycle"
"22272",0,2,8,NA,0,NA,1,65,1,10,"Junior Cycle"
"22273",7,17,21,NA,5,7,1,51,2,3,"Postgraduate Degree"
"22274",6,6,13,7,0,8,2,54,2,4,"Leaving Certificate"
"22275",4,6,13,2,3,6,1,NA,1,6,"Leaving Certificate"
"22276",8,3,12,3,0,9,2,45,1,2,"Junior Cycle"
"22277",8,2,10,2,2,8,1,62,1,2,"Junior Cycle"
"22278",10,17,19,NA,3,8,2,42,1,0,"Postgraduate Degree"
"22279",3,17,18,8,5,8,1,34,1,7,"Postgraduate Degree"
"22280",5,15,19,8,7,10,1,NA,1,5,"Bachelor Degree"
"22281",4,4,14,5,2,6,2,40,1,6,"Junior Cycle"
"22282",7,17,18,10,3,5,2,54,2,3,"Postgraduate Degree"
"22283",5,6,13,5,3,8,2,37,1,5,"Leaving Certificate"
"22284",9,3,11,3,9,8,2,58,1,1,"Junior Cycle"
"22285",9,17,18,4,6,7,1,22,2,1,"Postgraduate Degree"
"22286",3,10,13,NA,NA,6,2,21,1,7,"Advanced Certificate"
"22287",5,3,11,4,6,8,2,18,2,5,"Junior Cycle"
"22288",5,17,18,4,3,10,1,73,1,5,"Postgraduate Degree"
"22289",1,3,17,NA,2,7,1,18,1,9,"Junior Cycle"
"22290",9,6,13,4,5,8,1,38,2,1,"Leaving Certificate"
"22291",5,12,17,8,5,5,2,49,1,5,"Advanced Certificate"
"22292",NA,13,16,NA,0,7,2,47,2,NA,"Bachelor Degree"
"22293",8,8,17,NA,7,8,1,68,1,2,"Leaving Certificate"
"22294",4,5,12,NA,6,3,2,71,2,6,"Leaving Certificate"
"22295",10,8,14,1,7,8,2,29,2,0,"Leaving Certificate"
"22296",7,11,14,5,3,9,1,70,1,3,"Advanced Certificate"
"22297",8,17,19,NA,8,6,2,26,1,2,"Postgraduate Degree"
"22298",8,6,15,4,5,10,2,29,2,2,"Leaving Certificate"
"22299",2,3,11,3,3,4,1,57,1,8,"Junior Cycle"
"22300",7,17,17,8,5,8,2,33,2,3,"Postgraduate Degree"
"22301",8,14,18,8,5,7,1,71,1,2,"Bachelor Degree"
"22302",2,14,16,NA,6,7,1,79,1,8,"Bachelor Degree"
"22303",10,6,13,7,7,9,2,68,1,0,"Leaving Certificate"
"22304",5,4,14,NA,0,6,2,40,1,5,"Junior Cycle"
"22305",8,6,13,NA,0,3,2,39,1,2,"Leaving Certificate"
"22306",2,2,10,1,8,5,2,82,1,8,"Junior Cycle"
"22307",5,6,14,7,4,5,2,26,1,5,"Leaving Certificate"
"22308",8,3,13,NA,2,5,1,18,1,2,"Junior Cycle"
"22309",3,6,13,2,4,5,1,50,1,7,"Leaving Certificate"
"22310",2,13,19,NA,0,1,2,34,1,8,"Bachelor Degree"
"22311",5,17,20,9,5,5,2,58,1,5,"Postgraduate Degree"
"22312",10,14,16,8,0,9,2,28,2,0,"Bachelor Degree"
"22313",7,14,18,10,6,6,2,44,1,3,"Bachelor Degree"
